,Q,A,label
2784,대인관계가 생각처럼 되지 않는데 후회가 되는 일이 있으시군요.,그러려고 했던 건 아니었는데 의도치 않게 상대의 기분을 상하게 했어.,1
2785,왜 그런 생각을 하시게 된 건지 말씀해 주실 수 있으세요?,지난주 부장 승진자 명단에서 나만 빠졌더라고 나는 누구보다도 열심히 회사 생활을 했다고 생각했는데 말이야.,1
2786,엄마가 바람을 피셨군요. 조금 더 자세히 말씀해 주시겠어요?,엄마가 바람을 피워서 아빠랑 이혼한대. 아빠랑 떨어지게 돼서 너무 슬퍼.,1
2787,사람들의 상반된 반응에 속상하셨겠네요.,사람들이 나를 싫어하는 것 같아서 너무 서글퍼.,1
2788,어떤 점이 우울하다고 느껴지세요?,부모가 되는 게 기쁘기도 하지만 나 자신을 잃어버리는 것 같아 우울해.,1
2789,무엇이 불우하다고 느끼도록 만들었나요?,아이들이 일찍부터 철 든 모습을 보면 너무 가슴이 미어져.,1
2790,좋은 친구를 만나셨군요. 친구와 함께하고 싶은 것이 있나요?,친구와 여행을 다녀올 계획이야. 그럼 그 친구에 대해 더 많은 것을 알 수 있을 것 같아.,1
2791,실수로 인해 동호회 재정에 예상치 못한 지출을 생기게 했군요.,나의 무지함으로 인해 동호회에 피해를 끼쳐서 자책하게 돼.,1
2792,친했던 친구에게 따돌림을 받고 있으셔서 너무나도 슬프시겠어요. 친구와 어떻게 멀어지게 된 건가요?,친구가 컨닝하는걸 선생님한테 말했는데 그 뒤로 친구들이 나를 피해.,1
2793,페인트칠하는 거 힘든데 고생했어요.,아무도 안 하려고 해서 그냥 내가 했어.,1
2794,유력 인사들의 재산 관리에 대해 환멸을 느끼시는군요.,하기야 그들도 열심히 모은 재산이라 무어라 할 수는 없지만 씁쓸한 맛은 잘 가시질 않네.,1
2795,관리를 해도 나빠지는 건강에 속상하시겠어요.,좀 더 노력 해야 하나? 자꾸 걱정돼서 우울해.,1
2796,아이고 무슨 일이 있으신가요?,직장에서 승진에 떨어져서 주위 눈치도 보이고 업무가 너무 많아져서 힘들어.,1
2797,회사 일은 다 같이 생긴 문젠데 혼자 남았다니. 억울하시겠어요.,왜 하필 나 혼자 남은 건지 나도 잘 모르겠어.,1
2798,결혼하신 것을 후회하고 계시는군요.,결혼생활이 내가 생각했던 거랑 너무 다르고 남편도 나에 대한 마음이 이전 같지 않은 것 같아.,1
2799,친구들이 괴롭혀서 학교에 가기 싫고 속상하시군요.,점점 이 상황에 환멸이 나.,1
2800,부모님 덕분에 외제 차를 타고 다니는 친구가 부러우시군요.,부모 잘 만나서 편하게 사는 친구를 보니 질투가 나고 마음이 속상해.,1
2801,싸워서 속상하셨겠어요. 무슨 일이 있으셨나요?,요즘 대화도 적어지고 애정도 식고 혼자 지내고 싶은 심정이야.,1
2802,어렸을 때부터 가정형편이 어려우셨군요.,근데 그 가난을 이 나이에도 벗어나질 못하고 있어 너무 슬퍼.,1
2803,부인에게 좋지 않은 일이 일어났군요. 많이 놀라셨겠어요. ,무엇보다 임신 상태였는데 건강이 따라 주지 않으니 유산까지 되었어.,1
2804,혹시 가족들이 왜 싫은지 이유를 물어봐도 될까요?,내 얘기를 잘 들어주지 않아. 나한테는 항상 짜증만 내.,1
2805,마음이 많이 아프셨겠어요.,아프면 서럽기도 하지만 눈물이 나시나 봐.,1
2806,혼자 업무를 맡아 고달프게 느끼셨군요.,나 혼자 일해 본 적 없는데 어떡해야 할지 모르겠어.,1
2807,부모님이 속상하셔서 마음이 아프시겠어요.,친구와 부모님께 사과드릴 거야.,1
2808,도움이 필요한 상황에서 친구가 신경을 쓰지 않아 많이 슬펐겠어요.,응. 친한 친구라고 기대했던 내 잘못이야.,1
2809,가족 외식에서 버려진 느낌을 받으셨군요.,아무리 언니가 주인공이어도 나도 취업 준비하는데 내 생각은 정말 아무도 안 해서 상처받았어.,1
2810,다른 사람들이 아플 때 신경 써 주지 못한 것에 대해 후회를 하고 계시군요.,아팠던 다른 사람들에게 신경을 쓰지 않았던 지난날들이 계속 생각이 나.,1
2811,일자리를 혼자 구하지 못해서 열등감이 드시는군요.,왜 그럴까 너무 속상하고 자꾸 친구가 부러워져.,1
2812,부모님이 나를 좋아하시는건지 혼란스럽군요. 혼란스럽게 여기는 이유가 있나요?,가끔씩 나를 없는 사람 취급을 해.,1
2813,계속 취업에 실패해서 실망을 많이 하셨나 봐요.,도대체 어디서부터 잘못되었는지 모르겠어.,1
2814,친구들의 배신에 정말 서러우셨겠어요. 자세히 알려주실 수 있나요?,갑자기 같이 다니던 친구들이 나를 피하는 것 같더니 이젠 아예 없는 사람 취급해.,1
2815,노후 걱정으로 많이 우울하신가 봐요.,대출이라도 받아서 집이라도 한 채 사 놨어야 했는데. 바보처럼 살았어.,1
2816,친하게 지낼 수 있을 거 같던 친구에게 따돌림을 받아 속상하시군요.,입학 초반에는 인사도 몇 번 나누었는데 언젠가부터 나를 깔보는 것 같더라고.,1
2817,감기 예방을 위해 노력하셨는데 감기에 걸리셨군요.,감기 안 걸리려고 독감 주사까지 맞았는데 아무짝에도 소용없네.,1
2818,남편분의 무관심 때문에 슬프시겠어요. 상황을 조금 더 자세히 말씀해 주시겠어요?,남편이 바쁜 건 알지만 다른 남편들에 비해 지나치게 관심이 없어.,1
2819,그런 일을 겪으셨다니 많이 속상하시겠어요.,그래서 금연을 다짐했는데 막상 끊으려니 우울하다.,1
2820,회사 일이 많아 스트레스받고 혼란스러우시군요?,일을 해도 해도 끝이 없으니까.,1
2821,평소와 달리 혼자 검진을 가게 되어 당황스러우셨겠어요.,어디서 약을 타고 어디서 돈을 내야 하는 건지 생각도 안 나고 잘 모르겠어.,1
2822,무슨 일 때문에 억울하고 속상하신지 말해주실 수 있나요?,부모님이 고혈압이 있어서 평생 식단 조절을 했는데 내가 고혈압이라네.,1
2823,남자친구와 결혼 자금이 부족해서 우울하시군요.,배는 점점 불러오는데 식장 예약도 못 했어. 이게 다 가난 때문이야.,1
2824,친구분의 교통사고 소식에 마음이 너무 비통하시겠어요.,전염병때문에 면회도 갈 수 없어서 전화라도 자주 할까 해.,1
2825,무슨 일로 내가 한심하다는 생각을 하셨나요?,내가 무슨 직업을 가질지 아직도 고민하고 있거든. 다른 친구들은 목표를 정하고 열심히 하고 있는데 나는 아직도 우왕좌왕하고 있으니 너무 한심하다는 생각이 들어.,1
2826,아들과 가까운 사이로 지내고 싶지만 그게 잘 안돼서 속상하시군요. 아들과의 관계를 위해 노력하신 것은 어떤 것이 있을까요?,그 또래에 관심 있는 것들을 배우기도 하면서 대화를 시도했는데 잘 안 돼서 속상해.,1
2827,동생이 못 본 척해서 당황스러우셨군요.,아무래도 조금 시간을 두고 지켜봐야겠어. 지금은 답답하고 속상해.,1
2828,사수분의 문제로 굉장히 곤란스러우시겠군요.,사수는 내 일을 도와줬을 뿐인데 오해가 생겨서 사수가 책임을 물게 되었어.,1
2829,희망퇴직자로 선정되어 슬프시겠어요.,누구보다 열심히 일해왔는데 이런 식으로 내쳐지는 게 슬퍼.,1
2830,직장에서 많은 업무로 괴로워하시는군요.,그만두고 싶지만 경제적으로 여유가 안 돼서 계속 다녀야 한다는 게 비통해.,1
2831,무슨 일이 있으셨나요?,성적이 너무 떨어졌어.,1
2832,내신 성적 때문에 좌절감을 느끼는군요.,학원 다니고 학교 수업도 잘 들었는데 성적이 안 올라.,1
2833,슬프고 힘드시겠어요. 슬픔을 극복 할 수있는 방법은 무엇이 있을까요?,가족과 대화하려고 해.,1
2834,분명 배우는 것도 다르고 과정도 다를 텐데 비교해서 많이 억울하시겠어요.,맞아 하는 것도 다르고 다들 뭘 모르고 성적만 비교해서 속상해.,1
2835,무의식중에서도 살고자 하는 마음이 있으신가 보네요.,정말 그렇게까지 살고 싶을까? 난 환멸스러운 거 같아.,1
2836,건강을 잃는 것 같아 울적한 느낌이 드시는군요.,젊을 때는 나도 참 건강했는데 말이야.,1
2837,자녀의 체중감량 노력이 없어 걱정이시군요.,아무리 얘기를 해도 하겠다고만 대답하고 실제로는 하지 않으니 옆에서 지켜보고 있자니 속상해 죽겠어.,1
2838,지속적인 성추행을 당하고 있는데 아무도 도와주지 않아 정말 힘드시겠어요.,경찰에 신고하면 보복을 당할 것 같아서 고민이 돼.,1
2839,동료분이 육아 휴직을 하셨군요.,둘이 하던 일을 다음 주부터 나 혼자서 해야 해서 밤늦게 혼자 회사에 남아 있어야 한다고 생각하니 벌써 우울해.,1
2840,도움을 주고 싶은데 줄 수 없어서 갑갑하시군요.,이번에 자녀가 이사를 하는데 좀 더 좋은 곳으로 가라고 돈을 보태주고 싶은데 할 수가 없어.,1
2841,아빠가 엄마한테 심한 말을 해서 우시는 것을 보는 게 슬프시군요.,아빠는 술만 드시면 그런다니까. 고생하는 엄마가 불쌍해서 나도 슬퍼.,1
2842,자녀가 대화를 안하려고 하는 군요. 무슨일 있으신가요?,열심히 살아도 자식은 내 맘 같지 않네.,1
2843,임종을 앞두고 있는데 다투는 자식들 때문에 골치가 아프시군요.,응. 안 그래도 몸이 안 좋은데 정신적으로도 너무 힘드네.,1
2844,어떤 부분이 가장 OO님을 서글프게 만드나요?,돈이 없으니까 싸고 노후화된 요양원밖에 갈 수 없다는 사실이 슬퍼.,1
2845,후배에게 뒤쳐지는 기분이군요. 무슨일 있으신가요?,후배에게까지 내가 열등감을 느낄 줄이야.,1
2846,아픈 곳이 많아 걱정이 되시는 군요. ,가난해서 치료할 수도 없어. 나는 왜 이렇게 불우할까. ,1
2847,아내분이 시한부 판정을 받아서 많이 걱정되시겠어요.,충격이 커. 어떻게 나에게 이런 일이 벌어질 수가 있는 거지.,1
2848,자퇴를 해서 많이 힘들지는 않나요?,많이 힘들어. 그것보단 나 때문에 누가 힘들어 한다는 것에 죄책감이 들어.,1
2849,그런 상황을 생각하면 마음이 심란하시겠어요.,곧 내 미래가 될 것이라고 생각하니까 슬퍼지는 것 같아.,1
2850,무슨 일 때문에 비참하신지 이유를 말씀해 주시겠어요?,나 건강이 많이 안 좋아졌어.,1
2851,아빠 때문에 속상하시군요.,성적이 좋다고 동생만 예뻐하는 걸 보면 동생까지 미워져.,1
2852,문득 거울을 보다 창피해졌군요. 지금도 늙지 않았다고 생각을 바꿔보는 건 어떨까요?,응. 너무 안일하게 생각하고 나를 돌아보지 않았네.,1
2853,젊은 학생들과 공부해 힘드시겠어요.,진도도 느리고 내 실력이 젊은 사람들에게 뒤쳐지니까 의욕도 떨어져.,1
2854,남편이 집안일을 하느라 힘든 걸 몰라주셔서 슬프시군요.,집안일이 절대 쉬운 게 아닌데 남편은 편하게 산다고 말해서 우울해.,1
2855,부모님께서 키우기 싫다며 서로에게 떠넘기는 것 때문에 상처를 많이 받으셨겠군요.,나를 키우는데 돈이 많이 들어서인가 내가 돈보다 못한 존재인가 생각이 들어.,1
2856,아내분이 빚을 해결해주셨군요. 속상한 마음이 더 크시겠어요.,아내의 쌈짓돈은 아이들 결혼 비용이었는데. 그래서 더 미안하고 죄스러워.,1
2857,직장에서 무슨 힘든 일이 있으셨나요?,업무도 많은데 민원인 상대하는 일이 너무 스트레스라 그게 더 힘들어. 그만두고 싶어.,1
2858,자식들에게 교육비를 지원했는데 자식들이 성공하지 못해서 슬펐겠네요.,너무 슬펐어. 성공하지 못한 자식들에게 도와 달라 말하기 미안해.,1
2859,사람들과 어울리는게 힘들어서 눈물이 나는군요.,나만 이게 너무 어려운 것 같아 너무 슬퍼.,1
2860,남자친구에게 프러포즈를 받으셨군요. 결혼에 대해서 부정적으로 생각하시는 이유가 있나요? ,현실적으로 미루어 봤을 때 결혼은 아무런 도움이 되지 않아. 결혼은 현실이고 결국에 이혼만을 낳을 거란 생각이 자꾸만 들어. ,1
2861,노년기임에도 재정이 불안해서 마음도 불안하신거군요.,평생 돈 생각만 하다 끝나는 거 아닌가 싶어.,1
2862,이중적인 친구의 모습에 혼란스러우시군요. 무슨 일이 있었는지 자세히 알 수 있을까요?,나는 제일 친하다고 생각했는데 그 친구는 내 결혼식에 축의금을 너무 적게 낸 거야. 친구는 날 제일 친한 친구로 생각하지 않나 봐.,1
2863,아내가 그리워서 너무 슬프시겠어요.,이렇게 외로운 나를 두고 아내는 왜 그렇게 일찍 가버린 건지. 아직도 눈물이 나네.,1
2864,아내가 갱년기라서 속상하겠어요.,내가 아내를 위해 무엇을 할 수 있을까?,1
2865,고립되어 있다는 기분이 들어 당황스러우시겠어요.,아무도 없이 혼자 남겨진 것 같아.,1
2866,옆집 노인분께서 안마의자를 자랑하심에 있어 질투심을 느끼셨군요.,우리 집은 안마의자를 살 형편이 못 되는 것을 알아도 서운한 마음은 어쩔 수가 없어.,1
2867,따돌림으로 인해 살아감의 환멸이 느껴지는군요. 지금 본인에게 무엇이 가장 중요한 것일까요?,직장을 그만두고 싶어. 이제까지 버텨왔지만 여기까지인 것 같아.,1
2868,계획했던 일이 잘못되었나요?,보통 일주일 계획을 세워 업무를 추진하는데 매주 뜻하지 않는 일이 생기네.,1
2869,학교폭력 때문에 자퇴해서 정말 속상하시겠군요.,나 자신에게도 실망이야. 버틸 수 있을 줄 알았는데.,1
2870,주변 사람들이 모두 떠나고 대화를 나눌 상대가 없어 외로우시겠어요.,응. 나도 나의 질긴 생명줄이 너무 원망스러워.,1
2871,팀장님은 괜찮으신가요?,응. 입원하셔서 지금 회복 중이셔. 일주일 입원하셔야 한대.,1
2872,본인이 노력한 만큼 성적이 나오지 않아 실망스러우시군요.,너무 속상하고 나 자신에게 실망스러워.,1
2873,오해를 받아 억울한 기분이신 것 같네요.,할머니는 형이라는 이유로 내게 지나치게 엄격하신 것 같아서 서운해.,1
2874,결혼 생각이 없으시군요. 가족들에게 이런 생각을 말씀드려 보았나요?,부모님께 말씀드렸지. 그런데 나이가 들면 생각이 바뀔 거라고 생각하셔.,1
2875,이른 나이에 권고사직을 당하게 되셔서 속상하시겠어요. 앞으로 어떻게 하면 좋을 것 같나요?,재취업 상담을 받아볼 생각이야. 아직 젊은데 집에서 놀 수는 없지.,1
2876,그런 말을 들어서 많이 속상하셨겠어요.,내가 남자친구랑 헤어지고 너무 힘들다고 얘기했거든. 그랬더니 내가 너무 바보 같고 답답하대.,1
2877,지갑을 잃어버려 당황하셨겠어요.,이 나이 먹고 물건을 잃어버리다니. 너무 부끄러워.,1
2878,친구가 폭행을 당해 온 사실을 숨겨 속상하시군요.,나랑 정말 친한 소꿉친구인데 나한테 도움을 요청할 수는 없었을까?,1
2879,친구한테 맞았는데 그걸 엄마가 알고 있었다니 충격 받았겠어요.,어떻게 해야 할지 모르겠어. 엄마는 어떻게 알게 된 걸까?,1
2880,친구들에게 잘해주는데 친구들은 그만큼 해주지 않는 거 같아 힘드시군요. 이런 기분을 나아지게 할 수 있는 방법이 있을까요?,친구들에게 마음을 쏟기보다 나에게 집중하는 시간을 많이 가져보려고 해.,1
2881,엄마의 잔소리에 대꾸하셨군요. 어떤 기분이 드셨나요? ,그땐 너무 짜증나서 그렇게 얘기했는데 말이 심했던 것 같아 후회 돼.,1
2882,학교폭력 때문에 자퇴해서 정말 속상하시겠군요.,나 자신에게도 실망이야. 버틸 수 있을 줄 알았는데.,1
2883,친한 친구분과 싸우시고 불안해하시는군요.,친구가 힘든 상황인데 돈을 안 갚는다는 이유로 화를 내서 친구가 서운해한 것 같아.,1
2884,남자친구에게 이별 통보를 받으셨군요.,아까는 좀 많이 울었는데 지금은 아무 생각이 없어. 정말 가슴에 총이라도 맞은 것처럼 그냥 아파.,1
2885,남은 시간이 얼마 없다고 생각하시는군요. 무슨 일 있으신가요?,간이식 수술을 받아야 해. ,1
2886,좋은 결과 받으셨나요?,아니. 나름 열심히 한다고 했는데 그만큼 점수가 안 나왔네. 속상하다.,1
2887,마음이 여유롭지 못해 불안하시군요.,어릴 때부터 악착 같이 돈만 벌었어. 여유를 잊어버린 거 같아서 슬퍼.,1
2888,계약이 클 거라 생각했는데 막상 닥치고 보니 별거 없었군요.,이번 계약이 클 거라 생각해서 준비도 많이 했는데 좀 허탈하네.,1
2889,아버지와 말다툼해서 속이 상하셨군요. 조금 더 이야기해 주시겠어요?,사실 생각해보면 내가 잘못한 게 더 큰 것 같아서 죄송한 마음이 들어.,1
2890,친구 문제로 힘드시겠어요.,내일 화해 하려고 해.,1
2891,거짓말을 한 상황에서 용돈을 더 받은 게 당황스러우시군요.,독서실 다니게 돈을 달라고 했을 때 좋아하시던 모습이 생각나서 죄책감이 들어.,1
2892,무엇 때문에 우울한 마음이 드셨는지 저에게 말씀해주실 수 있으세요?,올해 초에 신입사원으로 입사했는데 코로나 때문에 무급휴직 받게 됐어.,1
2893,좋은 직업을 가진 사람들을 만날 기회가 많았군요. 그럴 때 기분이 어떠신가요?,왜 조금 더 열심히 살지 못했나 후회가 들어.,1
2894,부끄러운 마음 뿐이군요. 왜 그런지 물어봐도 될까요?,이 나이 되도록 모아 놓은 돈도 없고 나 자신이 너무 한심하고 부끄럽네.,1
2895,퇴직 후에 재정적으로 어려움을 겪으시는군요.,지역단체에서 도움을 주는데도 먹고 사는 문제는 해결되지 않네.,1
2896,돈 때문에 찾아오는 아들에게 서운한 마음이 드는군요.,그래. 돈이 없다는 말에 화를 내며 떠나는 모습을 보고 눈물이 났어.,1
2897,산후 우울증으로 힘든 시간을 보내고 계시는군요.,남편도 일이 바쁘니 신경을 쓰지 않고 나는 아이에게만 매여 있으니 세상과 단절된 기분이야.,1
2898,친구들과 어떤 일이 있었길래 실망하셨나요?,친구들이랑 여행지를 고르는데 내 의견은 모두 무시당했어.,1
2899,친구들과 진로 주제로 대화가 힘드시군요. 무엇 때문에 그러시나요?,내가 원하는 진로를 결정하지 못해서 그런거 같아.,1
2900,남편분이 반신불수가 되었다니 많이 충격적이시겠어요.,내 남편 불쌍해서 어떡해. 앞으로가 너무 막막해.,1
2901,재정상태로 인해 참담한 기분이 드는군요.,게을리 살지 않았는데 어쩌다가 이렇게 됐을까 생각하면 우울해져.,1
2902,가정만 생각하면 슬프신 이유가 있나요?,부모님 모두 어릴 때 돌아가셨거든.,1
2903,최근 건강 상태가 급격히 악화해 무척 괴로우시겠어요.,경제적 여유가 없어서 마음은 있는데 현실적으로 관리하지 못하고 있어.,1
2904,부모님이 어떤 이유로 다투셨나요?,내 학업성적으로 다투셨어. 정말 너무 지쳐.,1
2905,무슨 일로 그런 생각을 하시나요?,나이는 들어가고 사랑이란 감정은 없어지고 사는 게 재미가 없어.,1
2906,병간호하다 아내의 지병이 더 악화해 정말 슬프시겠어요.,아내가 통증으로 고통스러워할 때마다 눈물이 나.,1
2907,아내가 그러시니 아주 속상하시겠어요.,많이 속상하기도 하고 답답하지. 아내가 이력서를 적어야 할 텐데.,1
2908,회사 동료들이 떠나 외로우시군요.,정기적으로 해 온 친구들 모임도 없으니 나만 버려진 것 같아.,1
2909,가정환경이 어려운 상황에서도 성공하고 싶으시군요.,꼭 성공하고 싶어. 내가 성공하지 못하면 우리 집은 무너질 테니까.,1
2910,아무것도 안 하고 혼자 있으셔서 힘드시겠어요.,우울증 때문에 손자를 나에게 맡기지 않아서 혼자 있어야 해.,1
2911,친구들이 비아냥거리기만 하니까 슬프시군요.,이런 상황이 계속되니까 이젠 환멸이 나.,1
2912,친구에게 정이 떨어지셨군요. 무슨 일이 있었나요?,고등학교 동창인데 어릴 때부터 그러더니 지금까지도 그 버릇을 못 고치네. 내 물건 중에 자기 마음에 드는 것이 있으면 달라고 떼쓰고 주지 않으면 막무가내로 가져가,1
2913,자녀분들의 독립으로 허무한 마음이 드시는군요.,이십 년 이상 부대끼며 살다가 자식들이 떠나가니 빈자리가 쓸쓸해.,1
2914,대리 때문에 짜증나시는군요. 왜 그러시나요?,혼자서 일을 너무 빨리 잘해서 상사의 예쁨을 독차지해.,1
2915,몸이 안 좋아서 그런 생각을 하시나요.,몸이 아프니 대인관계도 단절되고 그냥 내 감정이 불우한 것 같아.,1
2916,친구한테 욕을 들어 속상하시겠어요. 더 자세하게 들을 수 있을까요?,다른 애들이 나에 대해 오해하는 게 있어서 나를 따돌리고 있는데 내 친구마저 나를 오해하게 된 것 같아.,1
2917,누나와 비교되는 자신이 너무 착잡했을 거 같아요.,맞아. 내 기분이 그래. 너무 애통해.,1
2918,연애를 못 해보셔서 한심하게 느끼시나요?,응. 이제 결혼하는 친구들도 있는데 나는 연애도 한 번 못 해보다니 한심한 것 같아.,1
2919,차이셔서 마음이 아프시겠어요.,그냥 나는 연애는 포기해야 될까봐.,1
2920,회사 동기들에게 모임 연락이 안 와서 속상하겠어요.,응. 자존심 때문에 회사 동기에게 아직 연락은 안 해봤어.,1
2921,오늘 비통한 감정을 느끼셨군요. 무슨 일이 있으셨나요?,내가 한 업무를 후배가 뺏었어.,1
2922,항암 치료가 많이 지긋지긋하고 힘드신가 봐요.,항암 치료가 너무 괴롭고 내 몸에 기운을 빼앗아 가기만 하는 것 같아. 포기하고 싶어.,1
2923,꾀병에 죽을 끓여주시며 걱정하는 엄마의 모습에 죄책감이 들었군요.,꾀병을 부릴 때면 항상 들켜서 혼나곤 했어. 그런데 이번엔 오히려 걱정을 하셔서 너무 죄송해.,1
2924,노인이 자립할 여건이 없어서 고민이시군요.,늙는 건 너무 서러워. 혼자가 된 것 같아서 눈물이 났어.,1
2925,친구가 선물을 주려고 했는데 이미 똑같은 선물을 받은 상태라서 많이 당황하셨을 것 같아요.,내가 꼭 주고 싶었던 선물인데 이미 받았다니 너무 속상해.,1
2926,아내 분이 모임 간 틈에 몰래 술을 마신 것이 후회되시는 군요.,술을 마신 것을 알고 아내가 화도 안 내고 방에 들어가서 우는데 너무 미안했어.,1
2927,성적이 떨어져서 많이 속상하겠어요.,응. 성적이 안 나오니 의욕이 많이 떨어지네.,1
2928,건강하던 친구가 황천길에 가게 되었군요.,오래 알던 건강했던 친구들이 하나 둘 씩 사라지니 점점 갈때를 생각하게 되네.,1
2929,소리를 지르고 집을 나온 것에 마음이 불편하시군요.,화가 나서 이럴 거면 나를 왜 낳았냐고 부모님께 소리를 질러 버렸어.,1
2930,도난사건의 용의자로 연루돼서 충격 받고 속상하시겠어요.,아무도 나를 믿어주지 않았다는 것에 우울하고 배신감을 느껴.,1
2931,친구분들이 세상을 먼저 떠나셔서 외로우시겠어요. 이 기분에서 벗어나기위해 어떻게 해야할까요?,더 운동하고 활발하게 다른사람들과 교류할려고해.,1
2932,속마음을 이야기했는데 갑자기 따돌림을 당하다니 당황하셨겠어요.,외롭고 정말 혼자가 된 기분이 좋지 않았어.,1
2933,매일 무기력하게 보내고 있어서 우울하고 슬프신가 봐요.,무기력하게 보내는 것도 하루 이틀이지 오 년이 넘으니까 몸이 굳는 느낌이어서 우울해.,1
2934,마을에 난 소문 때문에 당황하셨군요.,마을 사람 만나는 것도 부끄러워.,1
2935,건강관리를 잘 못 해오셨군요.,지난해와 올해의 몸이 또 다르더라고. 이곳저곳이 아주 아파.,1
2936,남편과의 대화 단절로 관계가 마비된 것 같다는 생각이 드시는군요. 대화가 줄어든 특별한 이유가 있나요?,특별한 이유는 없고 정서적으로 건조해진 것 같아. 서로 더욱더 노력해봐야지.,1
2937,아버님의 바람을 목격하셔서 충격이 크실 것 같아요.,우리 아빠가 그러다니. 너무 충격이야.,1
2938,업무에 어떤 실수를 하셨는지 말씀해 주실 수 있으세요?,같은 실수를 반복해서 부끄러워.,1
2939,요즘 혼란을 겪고 계시는군요. 무슨 일인지 여쭤봐도 될까요?,하고 싶은 진로를 택했는데 취업으로 연결되기가 어렵네. 이제라도 다시 새로운 공부를 해보려고 해.,1
2940,상사한테 무시당한 것 같아서 슬프시군요. 무슨 상황인지 더 말씀해주시면 좋을 것 같아요.,내가 잘못한 것이 아닌데 확인도 안하고 부하 직원들 앞에서 날 모욕했어. 직장 생활에 환멸을 느껴.,1
2941,두렵고 힘드시겠어요. 두려움을 극복할 방법은 무엇이 있을까요?,오늘 영화보고 잊으려고해.,1
2942,무슨 일로 직장을 옮기셨나요?,전에 있던 회사가 많이 어려워져서.,1
2943,친구분께서 많이 안 좋으신 것 같네요.,일어나지 못한다니 얼마나 답답하고 힘들까? 너무 걱정이야.,1
2944,욕하기 위한 단체 채팅방이라니 많이 속상하셨겠어요.,내가 뭘 잘못했다고 욕하기 위해서 단체 채팅방을 만들었을까?,1
2945,대출이 쉽지 않아 서러우시군요.,노인들을 위한 대출 방법이 얼마 없다니 세상이 너무하다고 생각돼.,1
2946,친하던 친구가 세상을 떠나서 많이 힘드시겠어요.,저세상에 간 친구의 행복을 빌어주고 싶어.,1
2947,장례식장은 어떤 일로 가시는 건가요?,제일 친한 친구 어머님이 갑작스럽게 돌아가셨대.,1
2948,애들한테 폭력을 당하다니 정말 힘들겠어요.,더 이상 학교도 다니고 싶지 않아. 괴로워.,1
2949,여자친구와 무슨 일이 있으셨나요?,왜 나는 버려진 걸까?,1
2950,친구가 말한 아기용품이 비싼 것들이라 부러웠군요.,우리 집은 형편이 부족해서 다 남한테 얻어다 쓰는 중인데 친구 얘기를 들으니 속상해.,1
2951,의사로부터 힘들게 출산한 아이가 몇 개월 못 살고 죽는다니 충격이겠어요.,응. 노산이라 걱정했는데 의사에게 직접 들으니 억장이 무너져.,1
2952,성적 때문에 힘드시겠어요. 어떤 후회를 하시나요?,학원을 그만 두고 혼자서 계획한 게 다 실패로 나타났어.,1
2953,무슨 일 때문에 마음이 슬프신가요?,내가 오랫동안 아프다 보니까 가족들이 마음고생을 많이 한 것 같아서 미안해.,1
2954,회사 일에 흥미를 잃으셨군요. 조금 더 자세히 말씀해 주시겠어요?,회사 일이 나와 안 맞는 것 같아. 그래서 사람들과도 자연스레 멀어진 것 같아.,1
2955,지인들과 만나신 후에는 분노와 우울함을 느끼시는군요.,내가 투자를 해서 손해가 컸거든. 안 그래도 가슴이 아픈데 친구들은 그냥 심심풀이로 하는 대화 정도로 여기더라고.,1
2956,집안에 일이 있었는데 혼자 모르고 있어서 당황스러우셨군요. 당황스러웠다고 솔직하게 말을 해봤나요?,아니. 나만 아무것도 안 알려주는 게 일상이야. 가족이랑 같이 있긴 하지만 항상 고립되어 있어.,1
2957,할 수 있는 게 없어서 속상하고 한심하게 느껴지시는군요.,죽기 전에 내가 할 수 있는 일들을 찾아보고 싶어.,1
2958,선생님이 아무 조치도 해주지 않으셔서 속상하시겠어요.,이대로는 바뀌지 않을 거 같아서 학생부에 건의할까 고민 중이야.,1
2959,내가 낸 아이디어가 상사의 것으로 둔갑되어 슬프겠어요.,응. 내가 낸 아이디어라고 동료들에게 어필을 해봤는데 소용없어.,1
2960,해고된 직장의 동료들이 만나자고 연락하시는 게 불편하시군요.,동료들하고는 사이가 좋았었는데 나한테는 해고가 큰 상처라 더 어려운 거 같아.,1
2961,취업하는 것에 어려움을 겪는군요. 어떤 점이 어려우신가요?,다른 친구들은 토익에 자격증에 학원을 다니는데 나는 어디서 지원을 받을 수가 없어서 정말 힘드네.,1
2962,많이 두려우시겠어요. 어떻게 하실 계획인가요?,이제부터라도 열심히 준비해야지.,1
2963,긴 시간 노력한 것에 회의를 느끼셨군요. 지금 당신을 응원해줄 사람이 떠오른다면 누굴까요?,엄마가 생각나. 엄마는 끝까지 날 응원하신다고 하셨거든.,1
2964,손자 생각에 눈물이 나시는군요. 좀 더 자세히 설명해 주시겠어요?,손자 혼자 남으면 손자를 책임질 사람이 없어 너무 걱정돼. 혼자 남겨 두는 거 같아서 슬프기도 하고.,1
2965,아내분을 행복하게 해주겠다는 약속을 거의 지키지 못하셨군요.,요즘 문득 아내의 얼굴을 보고 있으면 인상이 많이 변한 것 같아서 이제 와 후회가 되네.,1
2966,가족들이 스마트폰을 하는 것에 화가 나셨군요.,밥을 먹을 때 좀 더 가족 간의 이야기를 하면 좋을텐데 말이지.,1
